;backtest_iteration;portfolio_type;expected_annual_return;annual_volatility;sharpe_ratio;discrete_allocation;profit
0;20;markowitz_portfolio_without_forecast_without_preselection;0.38632715940212803;0.08974842097771082;4.081711470924998;{'CLX': 5.0, 'MGPI': 55.0, 'CSFL': 37.0, 'PGR': 81.0, 'EGRX': 8.0, 'SA': 37.0, 'OFLX': 28.0, 'ALGN': 5.0, 'VCEL': 11.0, 'NURO': 115.0, 'LMAT': 81.0, 'TVIX': 61.0, 'IRS': 5.0, 'CUTR': 7.0, 'GOLD': 4.0, 'LOGI': 60.0, 'TTWO': 20.0, 'MZOR': 23.0, 'SPHS': 199.0, 'CENTA': 24.0, 'TPL': 3.0, 'HSKA': 43.0, 'PETS': 6.0, 'FOXF': 85.0, 'ZGNX': 4.0, 'ITI': 273.0, 'AMZN': 3.0, 'BWXT': 138.0, 'EXEL': 105.0, 'CLUB': 95.0, 'COR': 56.0, 'WD': 79.0, 'INGN': 4.0, 'PMD': 11.0, 'CASI': 474.0, 'MASI': 9.0, 'CASH': 8.0, 'WTM': 1.0, 'CNBKA': 41.0, 'WTW': 1.0, 'AXGN': 215.0, 'SYNC': 213.0, 'SKYW': 31.0, 'TSE': 32.0, 'MTL': 18.0, 'MTN': 18.0, 'STZ': 27.0, 'MBOT': 81.0, 'NERV': 25.0, 'TSN': 31.0, 'HTHT': 109.0, 'PLUS': 6.0, 'RENN': 50.0};273.77682220939687
1;20;markowitz_portfolio_without_forecast;0.4476102018872372;0.14158103511642878;3.020250569121727;{'ABMD': 30.0, 'ACGL': 105.0, 'ACHC': 14.0, 'AEIS': 10.0, 'AERI': 16.0, 'AKAO': 78.0, 'AMCX': 3.0, 'AMZN': 4.0, 'ANGI': 19.0, 'AOBC': 9.0, 'AQXP': 68.0, 'ARRY': 57.0, 'ASMB': 71.0, 'BWXT': 120.0, 'CBOE': 88.0, 'CENTA': 89.0, 'COHR': 8.0, 'COKE': 17.0, 'ESLT': 42.0, 'FIZZ': 98.0, 'FOXF': 171.0, 'GOLD': 32.0, 'HOFT': 120.0, 'HTHT': 164.0, 'JBSS': 11.0, 'MGPI': 85.0, 'PLCE': 22.0, 'PRMW': 218.0, 'SKYW': 27.0, 'SSRM': 116.0, 'TWOU': 15.0, 'WIFI': 57.0};8.159584045429824
2;20;markowitz_portfolio_with_forecast;0.481636263231917;0.14493650088664856;3.1850931987998794;{'ABMD': 32.0, 'ACHC': 28.0, 'ADXS': 27.0, 'AEIS': 1.0, 'AERI': 12.0, 'AKAO': 60.0, 'ALGN': 3.0, 'AMCX': 69.0, 'AMZN': 4.0, 'ANGI': 3.0, 'AQXP': 60.0, 'ARRY': 34.0, 'ASMB': 66.0, 'AUTO': 135.0, 'BWXT': 146.0, 'CBOE': 108.0, 'CENTA': 77.0, 'COHR': 5.0, 'COKE': 15.0, 'ESLT': 48.0, 'FIZZ': 85.0, 'FOXF': 142.0, 'GOLD': 26.0, 'HOFT': 95.0, 'HTHT': 172.0, 'JBSS': 1.0, 'MGPI': 93.0, 'PLCE': 20.0, 'PRMW': 214.0, 'SKYW': 21.0, 'SSRM': 143.0, 'TWOU': 18.0, 'WIFI': 84.0};177.88945245744088
3;20;markowitz_portfolio_with_forecast_and adjusted covariance_matrix;0.4363109378672634;0.00026367055738082794;1578.9056692665613;{'AABA': 2.0, 'AAL': 3.0, 'AAOI': 4.0, 'AAON': 4.0, 'AAPL': 1.0, 'AAWW': 2.0, 'AAXN': 6.0, 'ABCB': 3.0, 'ABG': 2.0, 'ABMD': 1.0, 'ABX': 10.0, 'ACGL': 4.0, 'ACHC': 4.0, 'ACHN': 10.0, 'ACIW': 6.0, 'ACOR': 5.0, 'ACXM': 5.0, 'ADBE': 1.0, 'ADI': 2.0, 'ADMS': 5.0, 'ADP': 1.0, 'ADSK': 1.0, 'ADUS': 4.0, 'ADXS': 86.0, 'AEGN': 5.0, 'AEIS': 2.0, 'AERI': 346.0, 'AFSI': 4.0, 'AGEN': 37.0, 'AGIO': 2.0, 'AGRX': 29.0, 'AGX': 2.0, 'AGYS': 12.0, 'AIMC': 3.0, 'AIN': 2.0, 'AIT': 2.0, 'AKAO': 10.0, 'AKBA': 10.0, 'AKRX': 4.0, 'AKS': 33.0, 'ALCO': 4.0, 'ALGN': 1.0, 'ALGT': 1.0, 'ALKS': 3.0, 'ALNY': 1.0, 'ALXN': 1.0, 'AMAT': 3.0, 'AMBA': 3.0, 'AMBC': 9.0, 'AMCX': 3.0, 'AMED': 3.0, 'AMGN': 1.0, 'AMKR': 13.0, 'AMNB': 4.0, 'AMOT': 5.0, 'AMPH': 8.0, 'AMSC': 39.0, 'AMSF': 2.0, 'AMSWA': 12.0, 'AMWD': 2.0, 'ANAT': 1.0, 'ANCX': 5.0, 'ANDV': 1.0, 'ANDX': 3.0, 'ANGI': 12.0, 'ANGO': 8.0, 'ANIK': 3.0, 'ANIP': 2.0, 'ANSS': 1.0, 'AOBC': 10.0, 'AOSL': 8.0, 'APC': 3.0, 'APD': 1.0, 'APEI': 7.0, 'APOG': 3.0, 'AQXP': 13.0, 'ARCB': 4.0, 'AREX': 70.0, 'ARII': 4.0, 'ARLP': 7.0, 'ARNA': 5.0, 'AROW': 4.0, 'ARRS': 5.0, 'ARRY': 14.0, 'ARWR': 62.0, 'ASCMA': 12.0, 'ASH': 2.0, 'ASMB': 5.0, 'ASML': 1.0, 'ASPS': 8.0, 'ASR': 1.0, 'ASTE': 3.0, 'ASYS': 11.0, 'ATI': 6.0, 'ATRC': 8.0, 'ATRO': 4.0, 'ATSG': 6.0, 'ATTU': 18.0, 'ATVI': 2.0, 'AUTO': 34.0, 'AVAV': 3.0, 'AVDL': 14.0, 'AVGO': 1.0, 'AVY': 1.0, 'AXDX': 7.0, 'AYI': 1.0, 'AZPN': 2.0, 'AZZ': 3.0, 'BAK': 5.0, 'BANF': 3.0, 'BANR': 2.0, 'BBL': 4.0, 'BBSI': 103.0, 'BCOR': 7.0, 'BCPC': 2.0, 'BDC': 2.0, 'BDGE': 4.0, 'BECN': 3.0, 'BELFB': 5.0, 'BGCP': 9.0, 'BGG': 6.0, 'BHP': 4.0, 'BIDU': 1.0, 'BJRI': 3.0, 'BLDR': 8.0, 'BLKB': 1.0, 'BLL': 3.0, 'BLMN': 8.0, 'BMRC': 2.0, 'BMS': 3.0, 'BMTC': 3.0, 'BNFT': 5.0, 'BOFI': 6.0, 'BOKF': 2.0, 'BOOM': 7.0, 'BPL': 2.0, 'BRC': 4.0, 'BREW': 8.0, 'BRKR': 4.0, 'BRKS': 4.0, 'BSET': 4.0, 'BTE': 55.0, 'BVN': 10.0, 'BWXT': 2.0, 'CALM': 3.0, 'CAMP': 7.0, 'CARB': 7.0, 'CASY': 1.0, 'CATY': 3.0, 'CBOE': 1.0, 'CBRL': 1.0, 'CBT': 2.0, 'CCBG': 6.0, 'CCJ': 16.0, 'CCLP': 7.0, 'CCMP': 2.0, 'CCOI': 3.0, 'CDNS': 3.0, 'CDW': 2.0, 'CEA': 5.0, 'CECE': 16.0, 'CECO': 12.0, 'CENTA': 4.0, 'CENX': 10.0, 'CEO': 1.0, 'CERN': 2.0, 'CEVA': 3.0, 'CFFN': 10.0, 'CGNX': 3.0, 'CHDN': 1.0, 'CHEF': 7.0, 'CHKP': 1.0, 'CHRW': 2.0, 'CHSCN': 5.0, 'CHSCO': 5.0, 'CHUY': 6.0, 'CKH': 3.0, 'CLX': 1.0, 'CMCO': 4.0, 'CMCSA': 4.0, 'CMRE': 23.0, 'CMTL': 7.0, 'CNI': 2.0, 'CNQ': 4.0, 'CNTY': 16.0, 'COG': 5.0, 'COHR': 1.0, 'COHU': 6.0, 'COKE': 1.0, 'COLM': 2.0, 'COMM': 4.0, 'CONE': 2.0, 'CONN': 6.0, 'CORE': 4.0, 'COST': 1.0, 'CPA': 1.0, 'CPE': 13.0, 'CPRT': 4.0, 'CPSI': 5.0, 'CRMT': 3.0, 'CROX': 15.0, 'CRUS': 3.0, 'CRZO': 7.0, 'CSCO': 4.0, 'CSFL': 6.0, 'CSIQ': 8.0, 'CSOD': 4.0, 'CSWC': 8.0, 'CSX': 3.0, 'CTAS': 1.0, 'CTRE': 7.0, 'CTRL': 4.0, 'CTRN': 7.0, 'CTSH': 2.0, 'CTXS': 2.0, 'CVCO': 1.0, 'CVGI': 16.0, 'CVGW': 2.0, 'CVLT': 3.0, 'CVTI': 5.0, 'CVX': 1.0, 'CYD': 6.0, 'CYOU': 4.0, 'DAKT': 14.0, 'DAL': 3.0, 'DENN': 11.0, 'DEST': 10.0, 'DFRG': 10.0, 'DHT': 33.0, 'DISH': 3.0, 'DLTR': 1.0, 'DNKN': 2.0, 'DORM': 2.0, 'DOX': 2.0, 'DSX': 38.0, 'DWSN': 35.0, 'DXPE': 6.0, 'ECHO': 6.0, 'ENTG': 5.0, 'EPAY': 4.0, 'ERA': 13.0, 'ESLT': 1.0, 'EXPD': 2.0, 'EXPE': 1.0, 'EXPO': 4.0, 'EZPW': 14.0, 'FANG': 1.0, 'FARM': 4.0, 'FARO': 3.0, 'FDX': 1.0, 'FELE': 3.0, 'FIZZ': 2.0, 'FLDM': 24.0, 'FLIR': 3.0, 'FLXS': 3.0, 'FOLD': 12.0, 'FOXF': 4.0, 'FRO': 27.0, 'FSTR': 6.0, 'FWRD': 2.0, 'GEOS': 11.0, 'GIII': 6.0, 'GNMX': 103.0, 'GNTX': 7.0, 'GOLD': 2.0, 'GPOR': 10.0, 'GPRE': 9.0, 'GRMN': 2.0, 'GSM': 9.0, 'GTLS': 5.0, 'HAIN': 4.0, 'HAYN': 4.0, 'HCCI': 7.0, 'HELE': 2.0, 'HNRG': 28.0, 'HOFT': 4.0, 'HOLI': 6.0, 'HTHT': 5.0, 'HTLD': 7.0, 'HUBG': 3.0, 'HURC': 3.0, 'HWKN': 4.0, 'HYGS': 17.0, 'IART': 3.0, 'IEP': 2.0, 'IIIN': 5.0, 'IIVI': 4.0, 'ILMN': 1.0, 'IOSP': 2.0, 'IPAR': 3.0, 'IPHS': 3.0, 'IRBT': 2.0, 'ITRI': 2.0, 'JBHT': 1.0, 'JBLU': 7.0, 'JBSS': 2.0, 'JJSF': 1.0, 'JOBS': 2.0, 'JOUT': 2.0, 'JVA': 36.0, 'KALU': 1.0, 'KBAL': 8.0, 'KLAC': 1.0, 'KMX': 2.0, 'KNX': 4.0, 'KSU': 1.0, 'LANC': 1.0, 'LFUS': 1.0, 'LGCYO': 27.0, 'LMNR': 6.0, 'LPG': 19.0, 'LSTR': 1.0, 'LTM': 11.0, 'LULU': 2.0, 'LWAY': 15.0, 'LYTS': 20.0, 'MDLZ': 3.0, 'MDRX': 11.0, 'MEOH': 3.0, 'MERC': 10.0, 'MGEE': 2.0, 'MGPI': 207.0, 'MLHR': 4.0, 'MMLP': 4.0, 'MNST': 2.0, 'MRTN': 8.0, 'MTRX': 10.0, 'MYRG': 4.0, 'NHTC': 7.0, 'NSC': 1.0, 'NWPX': 9.0, 'NYNY': 6.0, 'ODFL': 1.0, 'OMAB': 3.0, 'PAAS': 8.0, 'PATK': 2.0, 'PDCE': 3.0, 'PEP': 1.0, 'PERY': 6.0, 'PETX': 21.0, 'PHIIK': 11.0, 'PLCE': 1.0, 'PLPC': 2.0, 'POOL': 1.0, 'POWL': 5.0, 'PPC': 5.0, 'PRIM': 5.0, 'PRMW': 12.0, 'PTEN': 8.0, 'PTSI': 5.0, 'RAIL': 10.0, 'RCKY': 9.0, 'RGLD': 2.0, 'ROCK': 4.0, 'RRTS': 17.0, 'RUSHA': 3.0, 'RYAAY': 1.0, 'SAFM': 1.0, 'SAIA': 2.0, 'SBLK': 24.0, 'SCHN': 5.0, 'SENEA': 4.0, 'SGC': 6.0, 'SHOO': 4.0, 'SKYW': 3.0, 'SLGN': 5.0, 'SNBR': 5.0, 'SODA': 2.0, 'SPTN': 6.0, 'SRCE': 3.0, 'SSRM': 14.0, 'STLD': 4.0, 'STNG': 39.0, 'TESS': 10.0, 'THRM': 4.0, 'TILE': 6.0, 'TWOU': 2.0, 'UFPI': 4.0, 'USAK': 9.0, 'USAP': 8.0, 'USLM': 2.0, 'VLRS': 13.0, 'VNET': 21.0, 'VNOM': 9.0, 'WDFC': 1.0, 'WERN': 4.0, 'WIFI': 7.0, 'WIRE': 3.0, 'WLFC': 6.0, 'WPRT': 79.0, 'WWD': 2.0, 'XEC': 1.0, 'XLRN': 4.0, 'YRCW': 10.0, 'ZEUS': 7.0};32.74013996124768
4;20;markowitz_portfolio_with_forecast_and_latent_features;0.5290966487458346;0.12718487741990195;4.002808030903294;{'AAOI': 10.0, 'ABMD': 30.0, 'ACHC': 52.0, 'ADMS': 5.0, 'ADXS': 85.0, 'AERI': 5.0, 'AKAO': 75.0, 'ALGN': 13.0, 'AMCX': 67.0, 'AMZN': 3.0, 'ANGI': 55.0, 'AOBC': 2.0, 'AQXP': 77.0, 'ARRY': 74.0, 'ASMB': 17.0, 'AUTO': 9.0, 'BWXT': 138.0, 'CBOE': 100.0, 'COHR': 19.0, 'COKE': 11.0, 'ESLT': 62.0, 'FIZZ': 118.0, 'FOXF': 100.0, 'GOLD': 17.0, 'HOFT': 146.0, 'HTHT': 99.0, 'MGPI': 52.0, 'PLCE': 17.0, 'PRMW': 102.0, 'SKYW': 57.0, 'SSRM': 180.0, 'WIFI': 89.0};261.6221404075658
0;19;markowitz_portfolio_without_forecast_without_preselection;0.3803695902148569;0.08846121910223707;4.073757900604646;{'CLX': 11.0, 'MGPI': 51.0, 'CSFL': 43.0, 'CME': 1.0, 'PGR': 83.0, 'EGRX': 9.0, 'INBK': 5.0, 'OFLX': 26.0, 'ALGN': 5.0, 'NURO': 109.0, 'LMAT': 79.0, 'TVIX': 67.0, 'IRS': 4.0, 'CUTR': 9.0, 'GOLD': 10.0, 'LOGI': 54.0, 'TTWO': 24.0, 'MZOR': 22.0, 'SPHS': 193.0, 'CENTA': 28.0, 'TPL': 3.0, 'HSKA': 41.0, 'PETS': 14.0, 'FOXF': 72.0, 'ZGNX': 2.0, 'ITI': 189.0, 'AMZN': 3.0, 'PAYC': 1.0, 'BWXT': 127.0, 'EXEL': 99.0, 'CLUB': 88.0, 'COR': 49.0, 'WB': 3.0, 'WD': 69.0, 'COT': 34.0, 'INGN': 10.0, 'PMD': 15.0, 'CASI': 438.0, 'MASI': 3.0, 'CASH': 11.0, 'CNBKA': 42.0, 'AXGN': 203.0, 'SYNC': 222.0, 'SKYW': 34.0, 'TSE': 33.0, 'MTL': 19.0, 'MTN': 13.0, 'STZ': 26.0, 'MBOT': 79.0, 'NERV': 22.0, 'TSN': 39.0, 'RYAAY': 3.0, 'HTHT': 102.0, 'PLUS': 11.0, 'RENN': 52.0};-1796.8004366159525
1;19;markowitz_portfolio_without_forecast;0.4585509281009817;0.14985622924133649;2.926477800230218;{'ABMD': 36.0, 'ACGL': 159.0, 'AERI': 19.0, 'AKAO': 83.0, 'AMZN': 6.0, 'ANGI': 9.0, 'AQXP': 83.0, 'ARRY': 55.0, 'ASMB': 55.0, 'ATSG': 41.0, 'BWXT': 156.0, 'CBOE': 20.0, 'CENTA': 72.0, 'COHR': 1.0, 'COKE': 14.0, 'ESLT': 64.0, 'FIZZ': 81.0, 'FOXF': 215.0, 'GOLD': 24.0, 'HOFT': 102.0, 'HTHT': 185.0, 'IRBT': 1.0, 'JBSS': 4.0, 'MGPI': 101.0, 'PLCE': 24.0, 'PRMW': 301.0, 'SKYW': 15.0, 'SSRM': 143.0, 'TWOU': 7.0};-35.03078174591593
2;19;markowitz_portfolio_with_forecast;0.45466750333844463;0.14869893922026273;2.923137889333469;{'ABMD': 35.0, 'ACGL': 153.0, 'AERI': 18.0, 'AKAO': 84.0, 'AMSC': 310.0, 'AMZN': 6.0, 'ANGI': 1.0, 'AOBC': 3.0, 'AQXP': 81.0, 'ARRY': 39.0, 'ASMB': 56.0, 'ATSG': 43.0, 'BWXT': 137.0, 'CBOE': 28.0, 'CENTA': 64.0, 'COHR': 1.0, 'COKE': 15.0, 'EFOI': 183.0, 'ESLT': 61.0, 'FIZZ': 81.0, 'FOXF': 205.0, 'GOLD': 24.0, 'HOFT': 104.0, 'HTHT': 190.0, 'IRBT': 4.0, 'JBSS': 9.0, 'MGPI': 94.0, 'PLCE': 28.0, 'PRMW': 286.0, 'SKYW': 6.0, 'SSRM': 137.0, 'TWOU': 5.0};-91.93079090118897
3;19;markowitz_portfolio_with_forecast_and adjusted covariance_matrix;0.7995715389382068;7.084194356560019e-05;11004.378193214272;{'ADXS': 1.0, 'AERI': 1590.0, 'ALDR': 139.0, 'AMSC': 1.0, 'CUI': 2.0, 'EFOI': 2.0, 'ICON': 2.0, 'MCEP': 1.0};19.84994697571171
4;19;markowitz_portfolio_with_forecast_and_latent_features;0.43412402008344536;0.11281322384998613;3.670881887340872;{'ABMD': 14.0, 'ACGL': 305.0, 'AERI': 29.0, 'AKAO': 114.0, 'ALDR': 28.0, 'AMSC': 700.0, 'AMZN': 9.0, 'ANGI': 16.0, 'AOBC': 74.0, 'AQXP': 110.0, 'ASMB': 117.0, 'ATSG': 2.0, 'BSET': 52.0, 'BWXT': 112.0, 'CBOE': 25.0, 'CENTA': 17.0, 'CHTR': 3.0, 'COHR': 1.0, 'COKE': 10.0, 'EFOI': 189.0, 'ESLT': 32.0, 'FIZZ': 53.0, 'FOXF': 124.0, 'GOLD': 36.0, 'HOFT': 238.0, 'HTHT': 85.0, 'ICON': 50.0, 'IRBT': 16.0, 'JBSS': 9.0, 'MGPI': 46.0, 'PLCE': 25.0, 'PRMW': 417.0, 'SSRM': 106.0};-278.70090103149954
0;18;markowitz_portfolio_without_forecast_without_preselection;0.36262107884541156;0.08582911408610068;3.99189811631641;{'CLX': 19.0, 'MGPI': 50.0, 'CSFL': 35.0, 'CME': 9.0, 'PGR': 97.0, 'EGRX': 9.0, 'INBK': 4.0, 'OFLX': 23.0, 'ALGN': 2.0, 'VCEL': 32.0, 'NURO': 115.0, 'CNC': 3.0, 'LMAT': 80.0, 'TVIX': 65.0, 'IRS': 6.0, 'CUTR': 9.0, 'GOLD': 9.0, 'LOGI': 37.0, 'TTWO': 20.0, 'MZOR': 18.0, 'SPHS': 187.0, 'CENTA': 34.0, 'TPL': 3.0, 'HSKA': 41.0, 'PETS': 24.0, 'FOXF': 76.0, 'ITI': 223.0, 'AMZN': 4.0, 'INFO': 7.0, 'BWXT': 126.0, 'EXEL': 98.0, 'CLUB': 76.0, 'COR': 45.0, 'WD': 64.0, 'COT': 44.0, 'INGN': 11.0, 'PMD': 37.0, 'CASI': 429.0, 'CASH': 12.0, 'CNBKA': 40.0, 'CPRT': 9.0, 'AXGN': 202.0, 'SYNC': 223.0, 'SKYW': 33.0, 'TSE': 28.0, 'MTL': 18.0, 'MTN': 11.0, 'STZ': 24.0, 'MBOT': 75.0, 'NERV': 14.0, 'TSN': 40.0, 'RYAAY': 1.0, 'HTHT': 105.0, 'PLUS': 5.0, 'ULTA': 2.0, 'RENN': 56.0};708.1138324737511
1;18;markowitz_portfolio_without_forecast;0.4480760668650214;0.13705204334102555;3.1234562902491207;{'ABMD': 30.0, 'ACHN': 61.0, 'AERI': 11.0, 'AKAO': 20.0, 'ALGN': 14.0, 'AMZN': 4.0, 'AQXP': 67.0, 'ARRY': 47.0, 'ASMB': 65.0, 'BWXT': 194.0, 'CBOE': 101.0, 'CECE': 16.0, 'CENTA': 62.0, 'COHR': 5.0, 'COKE': 11.0, 'ESLT': 42.0, 'FIZZ': 71.0, 'FOXF': 114.0, 'GOLD': 39.0, 'HOFT': 88.0, 'HTHT': 241.0, 'IIVI': 12.0, 'JBSS': 8.0, 'MGPI': 82.0, 'PLCE': 30.0, 'PRMW': 294.0, 'SKYW': 19.0, 'SSRM': 16.0, 'TWOU': 9.0, 'WIFI': 50.0};1129.9854478836378
2;18;markowitz_portfolio_with_forecast;0.5084958231229557;0.1426939631814785;3.423381145435603;{'ABMD': 29.0, 'ACHN': 350.0, 'AERI': 9.0, 'AKAO': 6.0, 'ALGN': 10.0, 'AMZN': 5.0, 'AQXP': 64.0, 'ARRY': 2.0, 'ASMB': 73.0, 'BWXT': 211.0, 'CBOE': 136.0, 'CECE': 68.0, 'CENTA': 68.0, 'COHR': 4.0, 'COKE': 10.0, 'ESLT': 34.0, 'FIZZ': 66.0, 'FOXF': 99.0, 'FRO': 154.0, 'GOLD': 35.0, 'HOFT': 78.0, 'HTHT': 192.0, 'JBSS': 6.0, 'MGPI': 83.0, 'PLCE': 31.0, 'PRMW': 256.0, 'SKYW': 18.0, 'SSRM': 5.0, 'WIFI': 56.0};893.8404111862507
3;18;markowitz_portfolio_with_forecast_and adjusted covariance_matrix;0.7145169672309882;0.0007186874113456135;966.3686273989822;{'ACHN': 2622.0, 'FOLD': 7422.0};0.0
4;18;markowitz_portfolio_with_forecast_and_latent_features;0.5252751341772461;0.1270210036937718;3.977886487146544;{'ABMD': 24.0, 'ACHN': 443.0, 'AERI': 10.0, 'AKAO': 37.0, 'ALGN': 5.0, 'AMZN': 6.0, 'AQXP': 73.0, 'ARRY': 43.0, 'ASMB': 85.0, 'BWXT': 235.0, 'CBOE': 114.0, 'CECE': 70.0, 'CENTA': 60.0, 'CHDN': 4.0, 'CLX': 6.0, 'COHR': 6.0, 'COKE': 11.0, 'EFOI': 202.0, 'ESLT': 46.0, 'ESND': 9.0, 'FIZZ': 40.0, 'FOSL': 8.0, 'FOXF': 118.0, 'FRO': 156.0, 'GOLD': 30.0, 'HOFT': 70.0, 'HTHT': 197.0, 'JBSS': 1.0, 'MGPI': 82.0, 'PLCE': 29.0, 'PRMW': 211.0, 'SKYW': 7.0, 'SSRM': 80.0, 'TWOU': 1.0, 'WIFI': 22.0};958.0054464340524
0;17;markowitz_portfolio_without_forecast_without_preselection;0.3712077707052367;0.08772895990520965;4.00332764784529;{'CACC': 1.0, 'CLX': 24.0, 'MGPI': 49.0, 'CSFL': 35.0, 'CME': 3.0, 'PGR': 119.0, 'EGRX': 8.0, 'INBK': 1.0, 'SA': 1.0, 'OFLX': 29.0, 'ALGN': 2.0, 'VCEL': 29.0, 'NURO': 114.0, 'CNC': 3.0, 'LMAT': 76.0, 'TVIX': 87.0, 'CUTR': 23.0, 'GOLD': 9.0, 'LOGI': 33.0, 'TTWO': 20.0, 'MZOR': 20.0, 'SPHS': 181.0, 'CENTA': 23.0, 'TPL': 3.0, 'HSKA': 40.0, 'PETS': 35.0, 'FOXF': 71.0, 'ZGNX': 2.0, 'ITI': 279.0, 'AMZN': 3.0, 'BWXT': 122.0, 'EXEL': 95.0, 'CLUB': 69.0, 'COR': 45.0, 'WD': 64.0, 'COT': 15.0, 'INGN': 11.0, 'PMD': 38.0, 'AVY': 1.0, 'CASI': 463.0, 'CASH': 10.0, 'CNBKA': 28.0, 'CPRT': 1.0, 'WTW': 1.0, 'AXGN': 193.0, 'SYNC': 229.0, 'DLTR': 1.0, 'SKYW': 28.0, 'TSE': 30.0, 'MTL': 3.0, 'MTN': 9.0, 'STZ': 24.0, 'MBOT': 95.0, 'NERV': 19.0, 'TSN': 37.0, 'LUNA': 25.0, 'HTHT': 102.0, 'PLUS': 8.0, 'RENN': 52.0, 'NETE': 17.0};991.6602227687924
